graph,order,size,time,iterations,error,technique,min_compute
"web-Stanford","281903","2312669","183.937","23","0.020417","pagerankComponentwiseCudaLiNorm","50"
"web-Stanford","281903","2312669","145.462","24","0.016888","pagerankComponentwiseCudaLiNorm","100"
"web-Stanford","281903","2312669","84.227","26","0.0066924","pagerankComponentwiseCudaLiNorm","500"
"web-Stanford","281903","2312669","63.778","27","0.0032567","pagerankComponentwiseCudaLiNorm","1000"
"web-Stanford","281903","2312669","43.184","30","0.00079655","pagerankComponentwiseCudaLiNorm","5000"
"web-Stanford","281903","2312669","41.165","32","0.00053913","pagerankComponentwiseCudaLiNorm","10000"
"web-Stanford","281903","2312669","38.724","35","0.00024442","pagerankComponentwiseCudaLiNorm","50000"
"web-Stanford","281903","2312669","39.189","38","0.00011655","pagerankComponentwiseCudaLiNorm","100000"
"web-Stanford","281903","2312669","40.073","41","0.000061767","pagerankComponentwiseCudaLiNorm","500000"
"web-Stanford","281903","2312669","40.069","41","0.000061767","pagerankComponentwiseCudaLiNorm","1000000"
"web-Stanford","281903","2312669","40.045","41","0.000061767","pagerankComponentwiseCudaLiNorm","5000000"
"web-Stanford","281903","2312669","40.08","41","0.000061767","pagerankComponentwiseCudaLiNorm","10000000"
"web-Stanford","281903","2312669","40.068","41","0.000061767","pagerankComponentwiseCudaLiNorm","50000000"
"web-BerkStan","685230","7605339","21.187","64","0","pagerankMonolithicCudaL1Norm","0"
"web-BerkStan","685230","7605339","13468.164","51","0.0000039817","pagerankComponentwiseCudaL1Norm","1"
"web-BerkStan","685230","7605339","5948.442","51","0.0000035609","pagerankComponentwiseCudaL1Norm","5"
"web-BerkStan","685230","7605339","4187.005","51","0.0000040048","pagerankComponentwiseCudaL1Norm","10"
"web-BerkStan","685230","7605339","1682.183","52","0.0000038882","pagerankComponentwiseCudaL1Norm","50"
"web-BerkStan","685230","7605339","1148.563","53","0.00000385","pagerankComponentwiseCudaL1Norm","100"
"web-BerkStan","685230","7605339","570.436","55","0.0000033347","pagerankComponentwiseCudaL1Norm","500"
"web-BerkStan","685230","7605339","391.621","56","0.0000037518","pagerankComponentwiseCudaL1Norm","1000"
"web-BerkStan","685230","7605339","213.879","60","0.0000035004","pagerankComponentwiseCudaL1Norm","5000"
"web-BerkStan","685230","7605339","190.035","61","0.0000036629","pagerankComponentwiseCudaL1Norm","10000"
"web-BerkStan","685230","7605339","166.638","63","0.0000032401","pagerankComponentwiseCudaL1Norm","50000"
"web-BerkStan","685230","7605339","162.997","65","0.0000025923","pagerankComponentwiseCudaL1Norm","100000"
"web-BerkStan","685230","7605339","151.38","63","8.9602e-7","pagerankComponentwiseCudaL1Norm","500000"
"web-BerkStan","685230","7605339","146.655","64","5.3593e-8","pagerankComponentwiseCudaL1Norm","1000000"
"web-BerkStan","685230","7605339","146.792","64","5.3593e-8","pagerankComponentwiseCudaL1Norm","5000000"
"web-BerkStan","685230","7605339","146.732","64","5.3593e-8","pagerankComponentwiseCudaL1Norm","10000000"
"web-BerkStan","685230","7605339","146.735","64","5.3593e-8","pagerankComponentwiseCudaL1Norm","50000000"
"web-BerkStan","685230","7605339","13.637","43","0.000049724","pagerankMonolithicCudaL2Norm","0"
"web-BerkStan","685230","7605339","12911.713","39","0.000040691","pagerankComponentwiseCudaL2Norm","1"
"web-BerkStan","685230","7605339","5540.247","39","0.000040617","pagerankComponentwiseCudaL2Norm","5"
"web-BerkStan","685230","7605339","3844.978","40","0.000046612","pagerankComponentwiseCudaL2Norm","10"
"web-BerkStan","685230","7605339","1476.15","40","0.000040118","pagerankComponentwiseCudaL2Norm","50"
"web-BerkStan","685230","7605339","994.442","41","0.000040466","pagerankComponentwiseCudaL2Norm","100"
"web-BerkStan","685230","7605339","472.703","43","0.000040725","pagerankComponentwiseCudaL2Norm","500"
"web-BerkStan","685230","7605339","317.72","43","0.000042435","pagerankComponentwiseCudaL2Norm","1000"
"web-BerkStan","685230","7605339","166.342","46","0.000044306","pagerankComponentwiseCudaL2Norm","5000"
"web-BerkStan","685230","7605339","145.073","46","0.000045743","pagerankComponentwiseCudaL2Norm","10000"
"web-BerkStan","685230","7605339","121.267","46","0.000057309","pagerankComponentwiseCudaL2Norm","50000"
"web-BerkStan","685230","7605339","117.633","46","0.000059122","pagerankComponentwiseCudaL2Norm","100000"
"web-BerkStan","685230","7605339","105.394","44","0.000048816","pagerankComponentwiseCudaL2Norm","500000"
"web-BerkStan","685230","7605339","98.542","43","0.000049733","pagerankComponentwiseCudaL2Norm","1000000"
"web-BerkStan","685230","7605339","98.504","43","0.000049733","pagerankComponentwiseCudaL2Norm","5000000"
"web-BerkStan","685230","7605339","98.508","43","0.000049733","pagerankComponentwiseCudaL2Norm","10000000"
